Player,Bye,Pts*,XPA,XPM,FGA,FGM,50
"Matt Bryant, Atl",11,170,57,56,37,34,6
"Justin Tucker, Bal",8,161,27,27,39,38,10
"Dustin Hopkins, Was",9,144,39,36,42,34,3
"Caleb Sturgis, Phi",4,143,31,30,41,35,4
"Adam Vinatieri, Ind",10,139,44,44,31,27,7
"Wil Lutz, NO",5,139,50,49,34,28,3
"Matt Prater, Det",10,138,33,31,36,31,7
"Cairo Santos, KC",5,133,39,36,35,31,2
"Nick Novak, Hou",9,133,25,22,41,35,3
"Dan Bailey, Dal",7,133,46,46,32,27,3
"Stephen Gostkowski, NE",9,131,49,46,32,27,2
"Sebastian Janikowski, Oak",10,130,39,37,35,29,3
"Stephen Hauschka, Sea",5,130,35,29,37,33,1
"Graham Gano, Car",7,127,34,31,38,30,3
"Brandon McManus, Den",11,125,33,32,34,29,3
"Jason Myers, Jax",5,124,32,29,34,27,7
"Mason Crosby, GB",4,124,47,44,30,26,1
"Josh Lambo, SD",11,120,46,42,32,26,0
"Chandler Catanzaro, Ari",9,112,47,43,28,21,3
"Ryan Succop, Ten",13,111,41,39,24,22,3
"Nick Folk, NYJ",11,109,26,24,31,27,2
"Dan Carpenter, Buf",10,99,45,40,25,19,1
"Chris Boswell, Pit",8,99,36,36,25,21,0
"Roberto Aguayo, TB",6,98,34,32,31,22,0
"Mike Nugent, Cin",9,92,29,23,29,23,0
"Andrew Franks, Mia",8,91,42,41,21,16,1
"Phil Dawson, SF",8,89,34,33,21,18,1
"Connor Barth, Chi",9,87,32,31,23,18,1
"Greg Zuerlein, LA",8,84,23,23,22,19,2
"Cody Parkey, Cle",13,82,21,20,25,20,1
"Kai Forbath, Min",6,58,14,11,15,15,1
"Blair Walsh, Min",6,53,19,15,16,12,1
"Robbie Gould, NYG",8,50,23,20,10,10,0
"Josh Brown, NYG",8,42,9,9,12,11,0
"Randy Bullock, Cin",9,33,10,9,9,8,0
"Patrick Murray, Cle",13,6,4,3,2,1,0
"Chris Jones, Dal",7,3,0,0,0,0,0
"Jon Ryan, Sea",5,2,0,0,0,0,0
"Marquette King, Oak",10,2,0,0,0,0,0
"Tress Way, Was",9,1,0,0,0,0,0
"Colton Schmidt, Buf",10,1,0,0,0,0,0
"Pat McAfee, Ind",10,1,0,0,0,0,0
"Sam Koch, Bal",8,0,0,0,0,0,0
"Drew Kaser, SD",11,0,0,0,0,0,0
"Donnie Jones, Phi",4,0,0,0,0,0,0
"Johnny Hekker, LA",8,0,0,0,0,0,0
"Riley Dixon, Den",11,0,0,0,0,0,0
"Matt Darr, Mia",8,0,0,0,0,0,0
"Jordan Berry, Pit",8,0,0,0,0,0,0
"Lachlan Edwards, NYJ",11,-1,0,0,0,0,0
"Drew Butler, Ari",9,-1,0,0,0,0,0
